Rte,Street Name,Address From,Address To,Day of Month,AM/PM,Side,From,To,Opt-out
31,6th Street,1400,1998,1st Tue,PM,W,Camelia,University,1600
21,6th Street,1401,1999,1st Mon,PM,E,Camelia,University,
22,6th Street,2000,2498,2nd Mon,AM,W,University,Dwight,
61,6th Street,2001,2499,1st Fri,AM,E,University,Dwight,
21,7th Street,1400,1598,1st Mon,PM,W,Camelia,Bataan,
21,7th Street,1500,1998,1st Mon,PM,W,Bataan,University,
31,7th Street,1401,1999,1st Tue,PM,E,Camelia,University,
61,7th Street,2000,2498,1st Fri,AM,W,University,Dwight,
22,7th Street,2001,2499,2nd Mon,AM,E,University,Dwight,
31,8th Street,1400,1998,1st Tue,PM,W,Camelia,University,
21,8th Street,1401,1999,1st Mon,PM,E,Camelia,University,
22,8th Street,2000,2498,2nd Mon,AM,W,University,Dwight,2100
61,8th Street,2001,2499,1st Fri,AM,E,University,Dwight,
21,9th Street,1400,1998,1st Mon,PM,W,Camelia,University,1600
31,9th Street,1401,1999,1st Tue,PM,E,Camelia,University,
61,9th Street,2000,2498,1st Fri,AM,W,University,Dwight,
22,9th Street,2001,2499,2nd Mon,AM,E,University,Dwight,
31,10th Street,1400,1998,1st Tue,PM,W,Camelia,University,
21,10th Street,1401,1999,1st Mon,PM,E,Camelia,University,
22,10th Street,2000,2498,2nd Mon,AM,W,University,Dwight,
61,10th Street,2001,2499,1st Fri,AM,E,University,Dwight,
21,62nd Street,1600,1998,1st Mon,AM,S,City Limit,City Limit,
31,62nd Street,1601,1999,1st Tue,AM,N,City Limit,City Limit,
31,63rd Street,1600,1998,1st Tue,AM,S,City Limit,City Limit,
21,63rd Street,1601,1999,1st Mon,AM,N,City Limit,City Limit,
42,65th Street,1264,1298,2nd Wed,AM,S,Idaho,City Limit,
32,65th Street,1201,1299,2nd Tue,AM,N,Idaho,City Limit,
32,66th Street,1200,1498,2nd Tue,AM,S,City Limit,Sacramento,
42,66th Street,1263,1499,2nd Wed,AM,N,City Limit,Sacramento,
42,67th Street,1264,1498,2nd Wed,AM,S,City Limit,Sacramento,
32,67th Street,1201,1499,2nd Tue,AM,N,City Limit,Sacramento,